name,date,longitude,latitude,prettyname,acres,containper,xlo,xhi,ylo,yhi,irwinid,htb,modis,viirs,wfigs,firis,fireguard 
ut-france-canyon,2025-06-11,-112.335,37.609,France Canyon,32053,15,18000,18000,18000,18000,{7D16D16F-4B11-4E71-A81B-FBCED2AE4C65},48,no,yes,yes,yes,no
wa-pomas,2025-06-13,-120.727,48.096,Pomas,1591,0,10000,10000,10000,10000,{41E770F6-74CA-4F78-85A9-91DFAA1FF446},48,no,yes,yes,yes,no
wy-horse,2025-06-13,-110.509,42.903,Horse,2455,54,10000,10000,10000,10000,{BC3833BD-6DDA-413E-837F-B09A4460C9A2},48,no,yes,yes,yes,no
mt-jericho-mountain,2025-06-15,-112.304,46.486,Jericho Mountain,493,21,10000,10000,10000,10000,{79041119-0964-4BC5-B768-72DBD436EE69},48,no,yes,yes,yes,no
ut-forsyth,2025-06-19,-113.473,37.391,Forsyth,10673,22,12000,12000,12000,12000,{A0E0393C-0265-4AC1-8F6A-10C02C2F5BBA},48,no,yes,yes,yes,no
ut-bridge-creek,2025-06-12,-110.895,37.044,Bridge Creek,2278,0,10000,10000,10000,10000,{C3D9D90D-17D7-420C-B9D6-3D1E72294AEC},48,no,yes,yes,yes,no
mt-south-east-fork,2025-06-25,-105.213,45.314,South East Fork,62.1,0,10000,10000,10000,10000,{38F799EA-A1C6-408A-BDC8-E5BCCB6097ED},48,no,yes,yes,yes,yes
id-old-greer,2025-06-26,-116.186,46.373,Old Greer,70,0,10000,10000,10000,10000,{9D216884-9EDE-4619-AC4A-565DC14B8639},48,no,yes,yes,yes,yes
co-horse-draw,2025-06-25,-108.5827,40.2724,Horse Draw,0,0,10000,10000,10000,10000,"",48,no,yes,yes,yes,yes
co-hilltop,2025-06-26,-107.897,39.485,Hilltop,376,40,10000,10000,10000,10000,{7FD67A8D-BEB8-4DF9-AB21-3E5A09DB262D},48,no,yes,yes,yes,yes
mt-no-rest,2025-06-26,-105.941,48.267,No Rest,74,0,10000,10000,10000,10000,{627343C6-D6B9-4617-9BBA-F99765520801},48,no,yes,yes,yes,yes
ut-sand-canyon,2025-06-26,-109.725,39.567,Sand Canyon,18,0,10000,10000,10000,10000,{8EEFA717-A9FE-4028-A4D7-EDBF2A1861D8},48,no,yes,yes,yes,yes
ca-saddle,2025-06-27,-118.942,36.399,Saddle,120,0,10000,10000,10000,10000,{9F73254A-432B-471E-92FB-2469FC56393B},48,no,yes,yes,yes,yes
ut-sand-canyon,2025-06-26,-109.725,39.554,Sand Canyon,18,0,10000,10000,10000,10000,{8EEFA717-A9FE-4028-A4D7-EDBF2A1861D8},48,no,yes,yes,yes,yes
